Annee;HC;HP;HF;Valeur
2021;HC_52;HP_52;TOTAL;9993
2021;HC_52;HP_59;TOTAL;4220
2021;HC_61;HP_31;TOTAL;0
2021;HC_61;HP_6;TOTAL;339
2021;HC_61;HP_82;TOTAL;594
2021;HC_62;HP_12;TOTAL;0
2021;HC_62;HP_34;TOTAL;36
2021;HC_62;HP_6;TOTAL;2085
2021;HC_63;HP_34;TOTAL;0
2021;HC_64;HP_33;TOTAL;2
2021;HC_64;HP_42;TOTAL;0
2021;HC_65;HP_12;TOTAL;0
2021;HC_65;HP_13;TOTAL;0
2021;HC_65;HP_6;TOTAL;255
2021;HC_66;HP_6;TOTAL;487
2022;HC_12;HP_11;TOTAL;9919
2022;HC_12;HP_12;TOTAL;1
2022;HC_12;HP_34;TOTAL;1488
2022;HC_14;HP_12;TOTAL;38
2022;HC_21;HP_13;TOTAL;325
2022;HC_23;HP_13;TOTAL;5
2022;HC_23;HP_34;TOTAL;95
2022;HC_24;HP_33;TOTAL;0
2022;HC_33;HP_22;TOTAL;1536
2022;HC_34;HP_35;TOTAL;4588
2022;HC_41;HP_13;TOTAL;20
2022;HC_42;HP_11;TOTAL;13
2022;HC_42;HP_42;TOTAL;4572
2022;HC_43;HP_82;TOTAL;2712
2022;HC_52;HP_33;TOTAL;361
2022;HC_52;HP_52;TOTAL;10059
2022;HC_52;HP_59;TOTAL;4305
2022;HC_61;HP_31;TOTAL;0
2022;HC_61;HP_82;TOTAL;596
2022;HC_62;HP_31;TOTAL;355
2022;HC_62;HP_33;TOTAL;151
2022;HC_62;HP_34;TOTAL;8
2022;HC_62;HP_59;TOTAL;0
2022;HC_63;HP_11;TOTAL;0
2022;HC_63;HP_12;TOTAL;0
2022;HC_63;HP_34;TOTAL;0
2022;HC_63;HP_52;TOTAL;0
2022;HC_64;HP_12;TOTAL;0
2022;HC_64;HP_42;TOTAL;0
2022;HC_65;HP_11;TOTAL;0
2022;HC_65;HP_13;TOTAL;0
2022;HC_65;HP_59;TOTAL;0
2022;HC_71;HP_71;TOTAL;1111
2022;HC_72;HP_72;TOTAL;6729
2023;HC_12;HP_11;TOTAL;11036
2023;HC_14;HP_13;TOTAL;9
2023;HC_14;HP_31;TOTAL;784
2023;HC_14;HP_32;TOTAL;0
2023;HC_21;HP_13;TOTAL;365
2023;HC_24;HP_33;TOTAL;0
2023;HC_31;HP_21;TOTAL;37285
2023;HC_31;HP_22;TOTAL;209
2023;HC_32;HP_21;TOTAL;104
2023;HC_33;HP_22;TOTAL;1600
2023;HC_34;HP_35;TOTAL;5866
2023;HC_41;HP_11;TOTAL;297
2023;HC_41;HP_34;TOTAL;14
2023;HC_42;HP_11;TOTAL;12
2023;HC_42;HP_13;TOTAL;1
2023;HC_42;HP_42;TOTAL;4918
2023;HC_52;HP_13;TOTAL;153
2023;HC_52;HP_33;TOTAL;406
2023;HC_52;HP_59;TOTAL;4593
2023;HC_61;HP_31;TOTAL;0
2023;HC_61;HP_34;TOTAL;177
2023;HC_61;HP_82;TOTAL;650
2023;HC_62;HP_11;TOTAL;0
2023;HC_62;HP_12;TOTAL;0
2023;HC_62;HP_42;TOTAL;0
2023;HC_63;HP_42;TOTAL;496
2023;HC_63;HP_51;TOTAL;175
2023;HC_63;HP_52;TOTAL;0
2023;HC_64;HP_33;TOTAL;6
2023;HC_64;HP_34;TOTAL;942
2023;HC_66;HP_6;TOTAL;221
2024;HC_11;HP_11;TOTAL;42004
2024;HC_12;HP_34;TOTAL;1567
2024;HC_14;HP_32;TOTAL;0
2024;HC_14;HP_33;TOTAL;9449
2024;HC_21;HP_12;TOTAL;3
2024;HC_23;HP_12;TOTAL;1
2024;HC_24;HP_33;TOTAL;0
2024;HC_24;HP_34;TOTAL;0
2024;HC_31;HP_11;TOTAL;1518
2024;HC_31;HP_21;TOTAL;38357
2024;HC_34;HP_33;TOTAL;4079
2024;HC_41;HP_34;TOTAL;10
2024;HC_43;HP_41;TOTAL;3609
2024;HC_43;HP_81;TOTAL;78
2024;HC_43;HP_82;TOTAL;3176
2024;HC_52;HP_11;TOTAL;3078
2024;HC_52;HP_33;TOTAL;441
2024;HC_52;HP_59;TOTAL;4986
2024;HC_62;HP_12;TOTAL;0
2024;HC_62;HP_42;TOTAL;0
2024;HC_62;HP_51;TOTAL;1151
2024;HC_62;HP_59;TOTAL;0
2024;HC_63;HP_34;TOTAL;0
2024;HC_63;HP_42;TOTAL;366
2024;HC_64;HP_12;TOTAL;0
2024;HC_64;HP_6;TOTAL;3182
2024;HC_65;HP_13;TOTAL;0
2024;HC_65;HP_6;TOTAL;331
2024;HC_72;HP_72;TOTAL;6990
2021;HC_131;TOTAL;HF_11;50
2021;HC_131;TOTAL;HF_122;1203
2021;HC_131;TOTAL;HF_21;904
2021;HC_133;TOTAL;HF_11;174
2021;HC_133;TOTAL;HF_21;1259
2021;HC_133;TOTAL;HF_31;59
2021;HC_511;TOTAL;HF_11;248
2021;HC_511;TOTAL;HF_21;1710
2021;HC_513;TOTAL;HF_11;16
2022;HC_131;TOTAL;HF_11;53
2022;HC_131;TOTAL;HF_122;1190
2022;HC_131;TOTAL;HF_31;34
2022;HC_132;TOTAL;HF_11;23
2022;HC_132;TOTAL;HF_121;5550
2022;HC_132;TOTAL;HF_122;3745
2022;HC_133;TOTAL;HF_11;154
2022;HC_133;TOTAL;HF_21;1263
2022;HC_133;TOTAL;HF_31;75
2022;HC_511;TOTAL;HF_122;1635
2022;HC_512;TOTAL;HF_122;40
2022;HC_512;TOTAL;HF_21;117
2022;HC_513;TOTAL;HF_32;94
2023;HC_131;TOTAL;HF_21;974
2023;HC_131;TOTAL;HF_31;37
2023;HC_131;TOTAL;HF_32;1697
2023;HC_132;TOTAL;HF_32;1656
2023;HC_133;TOTAL;HF_11;175
2023;HC_133;TOTAL;HF_121;21689
2023;HC_133;TOTAL;HF_122;1584
2023;HC_511;TOTAL;HF_21;1867
2023;HC_511;TOTAL;HF_32;1302
2023;HC_512;TOTAL;HF_121;0
2023;HC_512;TOTAL;HF_122;35
2023;HC_512;TOTAL;HF_31;2583
2023;HC_513;TOTAL;HF_121;2311
2023;HC_513;TOTAL;HF_122;116
2023;HC_513;TOTAL;HF_32;88
2024;HC_131;TOTAL;HF_11;60
2024;HC_131;TOTAL;HF_21;1007
2024;HC_131;TOTAL;HF_31;51
2024;HC_131;TOTAL;HF_32;1970
